City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Zhelyabovka,UA,45.3988,34.7578,67.05,67,3,8.46,clear sky
308,Great Yarmouth,GB,52.6083,1.7305,67.01,76,100,12.64,overcast clouds
309,Lebu,CL,-37.6167,-73.65,53.71,91,100,14.67,light rain
310,Ferkessedougou,CI,9.6,-5.2,69.15,94,93,5.19,overcast clouds
311,Viedma,AR,-40.8135,-62.9967,44.98,79,100,10.2,overcast clouds
312,Osorno,CL,-40.5667,-73.15,42.26,99,100,1.39,overcast clouds
313,Medeiros Neto,BR,-17.3739,-40.2206,63.01,92,87,3.87,overcast clouds
314,Ambunti,PG,-4.2365,142.8448,86.92,70,35,2.84,scattered clouds
315,Ixtapa,MX,20.7,-105.2,79.23,92,91,1.01,overcast clouds
316,Loudeac,FR,48.1783,-2.7543,63.72,96,97,9.33,overcast clouds
317,Cayenne,GF,4.9333,-52.3333,83.08,1,75,0.0,broken clouds
318,Whittlesea,ZA,-32.1759,26.8244,36.43,90,33,2.84,scattered clouds
319,Bonthe,SL,7.5264,-12.505,74.88,87,100,8.48,light rain
320,Koulikoro,ML,14.0,-7.75,74.34,87,100,6.33,overcast clouds
321,Monte Escobedo,MX,22.3,-103.5833,60.03,70,79,3.11,broken clouds
322,Tubinskiy,RU,52.8892,58.2225,66.76,72,100,5.17,overcast clouds
323,Ondarroa,ES,43.3167,-2.4167,70.45,89,59,5.46,broken clouds
324,Bismarck,US,46.8083,-100.7837,69.82,65,0,4.61,clear sky
325,Zhezkazgan,KZ,47.8043,67.7144,73.38,25,0,13.42,clear sky
326,Slupca,PL,52.2873,17.8719,61.2,85,20,6.24,few clouds
327,Fukue,JP,32.6881,128.8419,82.76,78,40,4.61,scattered clouds
328,Nuuk,GL,64.1835,-51.7216,41.27,94,84,6.35,broken clouds
329,Kieta,PG,-6.2167,155.6333,85.3,68,22,8.25,few clouds
330,Loviisa,FI,60.4566,26.2251,52.29,91,18,4.43,few clouds
331,Yar-Sale,RU,66.8333,70.8333,52.09,75,94,13.04,overcast clouds
332,Mpongwe,ZM,-13.5091,28.155,53.11,62,2,4.36,clear sky
333,Saint-Augustin,CA,51.226,-58.6502,66.18,68,43,6.51,scattered clouds
334,Portland,US,45.5234,-122.6762,88.03,46,2,5.99,clear sky
335,Te Anau,NZ,-45.4167,167.7167,44.51,75,99,3.42,overcast clouds
336,Livramento,BR,-3.0254,-60.1803,84.87,88,0,0.0,clear sky
337,Aswan,EG,24.0934,32.907,83.5,26,0,8.05,clear sky
338,Fria,GN,10.4167,-13.5833,72.21,99,100,0.74,light rain
339,Bethel,US,41.3712,-73.414,82.76,73,20,0.0,few clouds
340,Khani,GE,41.9563,42.9566,53.17,89,13,4.38,few clouds
341,Tiarei,PF,-17.5333,-149.3333,77.02,83,28,14.94,light rain
342,Pirogovo,RU,56.7796,53.1495,69.66,85,15,1.66,few clouds
343,Diffa,NE,13.3154,12.6113,84.51,52,62,8.86,broken clouds
344,Pangnirtung,CA,66.1451,-65.7125,51.21,73,94,2.35,overcast clouds
345,Sebeta,ET,8.9167,38.6167,57.24,96,98,4.25,overcast clouds
346,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,88,40,2.98,scattered clouds
347,Quthing,LS,-30.4,27.7003,36.27,66,0,3.83,clear sky
348,Tasiilaq,GL,65.6145,-37.6368,38.17,87,93,3.51,overcast clouds
